post_id,sentences
10162596903039988,"[[('``', '``'), ('The', 'DT'), ('Finke', 'NNP'), ('Desert', 'NNP'), ('Race', 'NNP'), ('is', 'VBZ'), ('Australias', 'NNP'), ('toughest', 'JJS'), ('off-road', 'JJ'), ('race', 'NN'), (',', ','), ('an', 'DT'), ('annual', 'JJ'), ('two-day', 'JJ'), ('event', 'NN'), ('that', 'WDT'), ('occurs', 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('Queens', 'NNS'), ('Birthday', 'NNP'), ('long', 'RB'), ('weekend', 'NN'), ('(', '('), ('June', 'NNP'), ('11', 'CD'), ('to', 'TO'), ('14', 'CD'), (')', ')'), ('.', '.'), (""''"", ""''"")], [('ABC.NET.AU', 'NNP'), ('Finke', 'NNP'), ('Desert', 'NNP'), ('Race', 'NNP'), ('blow', 'NN'), ('for', 'IN'), ('Victorians', 'NNPS'), ('as', 'IN'), ('whole', 'JJ'), ('state', 'NN'), ('declared', 'VBD'), ('hotspot', 'NN'), ('Two', 'CD'), ('hundred', 'VBD'), ('competitors', 'NNS'), ('and', 'CC'), ('40', 'CD'), ('volunteers', 'NNS'), ('can', 'MD'), ('not', 'RB'), ('attend', 'VB'), ('the', 'DT'), ('first', 'JJ'), ('Finke', 'NNP'), ('Desert', 'NNP'), ('Race', 'NNP'), ('in', 'IN'), ('two', 'CD'), ('years', 'NNS'), ('thanks', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('recent', 'JJ'), ('Victorian', 'JJ'), ('COVID-19', 'NNP'), ('outbreak', 'NN'), (',', ','), ('which', 'WDT'), ('has', 'VBZ'), ('seen', 'VBN'), ('greater', 'JJR'), ('Melbourne', 'NNP'), ('plunged', 'VBD'), ('into', 'IN'), ('its', 'PRP$'), ('fourth', 'JJ'), ('lockdown', 'NN'), ('.', '.')]]"
10162596831079988,"[[('Victoria', 'NNP'), ('is', 'VBZ'), ('now', 'RB'), ('battling', 'VBG'), ('COVID', 'NNP'), ('on', 'IN'), ('multiple', 'JJ'), ('fronts', 'NNS'), ('.', '.')], [('ABC.NET.AU', 'NNP'), ('Live', 'NNP'), (':', ':'), ('Melbourne', 'NNP'), ('office', 'NN'), ('building', 'NN'), (',', ','), ('Costco', 'NNP'), ('added', 'VBD'), ('as', 'IN'), ('exposure', 'NN'), ('sites', 'VBZ'), ('as', 'IN'), ('investigations', 'NNS'), ('continue', 'VBP'), ('into', 'IN'), ('source', 'NN'), ('of', 'IN'), ('Delta', 'NNP'), ('variant', 'JJ'), ('infections', 'NNS'), ('Health', 'NNP'), ('authorities', 'NNS'), ('in', 'IN'), ('two', 'CD'), ('states', 'NNS'), ('are', 'VBP'), ('still', 'RB'), ('trying', 'VBG'), ('to', 'TO'), ('determine', 'VB'), ('how', 'WRB'), ('the', 'DT'), ('family', 'NN'), ('who', 'WP'), ('holidayed', 'VBD'), ('on', 'IN'), ('the', 'DT'), ('New', 'NNP'), ('South', 'NNP'), ('Wales', 'NNP'), ('South', 'NNP'), ('Coast', 'NNP'), ('tested', 'VBD'), ('positive', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('Delta', 'NNP'), ('variant', 'NN'), ('of', 'IN'), ('the', 'DT'), ('virus', 'NN'), ('.', '.')], [('Follow', 'NNP'), ('live', 'NN'), ('.', '.')]]"
10162596765544988,"[[('``', '``'), ('A', 'DT'), ('Collins', 'NNP'), ('Street', 'NNP'), ('office', 'NN'), ('building', 'NN'), ('in', 'IN'), ('Melbournes', 'NNP'), ('CBD', 'NNP'), ('and', 'CC'), ('a', 'DT'), ('supermarket', 'NN'), ('at', 'IN'), ('Docklands', 'NNS'), ('have', 'VBP'), ('been', 'VBN'), ('added', 'VBN'), ('to', 'TO'), ('Victorias', 'NNP'), ('list', 'NN'), ('of', 'IN'), ('COVID', 'NNP'), ('exposure', 'NN'), ('sites', 'NNS'), (',', ','), ('which', 'WDT'), ('stands', 'VBZ'), ('at', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('360', 'CD'), ('.', '.'), (""''"", ""''"")], [('ABC.NET.AU', 'NNP'), ('Melbourne', 'NNP'), ('CBD', 'NNP'), ('office', 'NN'), ('building', 'NN'), ('among', 'IN'), ('COVID-19', 'JJ'), ('exposure', 'NN'), ('sites', 'NNS'), ('There', 'EX'), ('are', 'VBP'), ('still', 'RB'), ('more', 'JJR'), ('than', 'IN'), ('360', 'CD'), ('locations', 'NNS'), ('listed', 'VBN'), ('as', 'IN'), ('exposure', 'NN'), ('sites', 'VBZ'), ('in', 'IN'), ('Victoria', 'NNP'), (',', ','), ('even', 'RB'), ('after', 'IN'), ('some', 'DT'), ('venues', 'NNS'), ('were', 'VBD'), ('removed', 'VBN'), ('after', 'IN'), ('two', 'CD'), ('cases', 'NNS'), ('were', 'VBD'), ('deemed', 'VBN'), ('false', 'JJ'), ('positives', 'NNS'), ('earlier', 'RBR'), ('this', 'DT'), ('week', 'NN'), ('.', '.')]]"
10162596753424988,"[[('``', '``'), ('All', 'DT'), ('of', 'IN'), ('a', 'DT'), ('sudden', 'JJ'), ('we', 'PRP'), ('heard', 'VBD'), ('a', 'DT'), ('roar', 'NN'), ('about', 'IN'), ('one', 'CD'), ('o\\clock', 'NN'), ('in', 'IN'), ('the', 'DT'), ('morning', 'NN'), ('and', 'CC'), ('thought', 'VBD'), ('\\what\\s', 'NNS'), ('that', 'IN'), ('?', '.'), ('\\', 'UH'), ('.', '.')], [('We', 'PRP'), ('went', 'VBD'), ('out', 'RP'), ('the', 'DT'), ('back', 'NN'), ('of', 'IN'), ('the', 'DT'), ('house', 'NN'), ('and', 'CC'), ('we', 'PRP'), ('were', 'VBD'), ('surrounded', 'VBN'), ('by', 'IN'), ('water', 'NN'), ('.', '.'), (""''"", ""''"")], [('``', '``'), ('ABC.NET.AU', 'NNP'), ('Like', 'IN'), ('a', 'DT'), ('tsunami', 'NN'), (':', ':'), ('The', 'DT'), ('flood', 'NN'), ('disaster', 'NN'), ('this', 'DT'), ('town', 'NN'), ('will', 'MD'), ('never', 'RB'), ('forget', 'VB'), ('It', 'PRP'), ('has', 'VBZ'), ('been', 'VBN'), ('five', 'CD'), ('years', 'NNS'), ('since', 'IN'), ('devastating', 'VBG'), ('floodwaters', 'NNS'), ('washed', 'VBD'), ('through', 'IN'), ('the', 'DT'), ('Tasmanian', 'JJ'), ('town', 'NN'), ('of', 'IN'), ('Latrobe', 'NNP'), ('.', '.'), (""''"", ""''"")], [('But', 'CC'), ('a', 'DT'), ('number', 'NN'), ('of', 'IN'), ('measures', 'NNS'), ('that', 'WDT'), ('could', 'MD'), ('prevent', 'VB'), ('a', 'DT'), ('similar', 'JJ'), ('event', 'NN'), ('today', 'NN'), ('are', 'VBP'), ('yet', 'RB'), ('to', 'TO'), ('be', 'VB'), ('implemented', 'VBN'), ('.', '.')]]"
10162596733979988,"[[('Are', 'NNP'), ('you', 'PRP'), ('eligible', 'JJ'), ('and', 'CC'), ('how', 'WRB'), ('will', 'MD'), ('you', 'PRP'), ('avoid', 'VB'), ('the', 'DT'), ('wait', 'NN'), ('times', 'NNS'), ('?', '.')], [('``', '``'), ('Heres', 'VBZ'), ('your', 'PRP$'), ('go-to', 'JJ'), ('guide', 'NN'), ('to', 'TO'), ('Queenslands', 'NNP'), ('COVID', 'NNP'), ('vaccine', 'NN'), ('hubs', 'NN'), ('.', '.'), (""''"", ""''"")], [('``', '``'), ('ABC.NET.AU', 'NNP'), ('New', 'NNP'), ('COVID', 'NNP'), ('vaccine', 'NN'), ('hubs', 'NN'), ('open', 'JJ'), ('in', 'IN'), ('Queensland', 'NNP'), ('this', 'DT'), ('weekend', 'NN'), ('—', 'NN'), ('heres', 'VBZ'), ('where', 'WRB'), ('you', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('the', 'DT'), ('jab', 'NN'), ('More', 'JJR'), ('COVID-19', 'JJ'), ('vaccine', 'NN'), ('hubs', 'NNS'), ('are', 'VBP'), ('open', 'JJ'), ('across', 'IN'), ('Queensland', 'NNP'), ('this', 'DT'), ('weekend', 'NN'), ('as', 'IN'), ('more', 'RBR'), ('people', 'NNS'), ('look', 'VBP'), ('to', 'TO'), ('get', 'VB'), ('their', 'PRP$'), ('first', 'JJ'), ('jab', 'NN'), ('.', '.'), (""''"", ""''"")], [('Find', 'VB'), ('out', 'RP'), ('if', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('eligible', 'JJ'), ('and', 'CC'), ('where', 'WRB'), ('can', 'MD'), ('you', 'PRP'), ('get', 'VB'), ('your', 'PRP$'), ('first', 'JJ'), ('dose', 'NN'), ('.', '.')]]"
10162596710079988,"[[('1', 'CD'), ('.', '.')], [('New', 'NNP'), ('cases', 'NNS'), ('—', 'VBP'), ('are', 'VBP'), ('they', 'PRP'), ('linked', 'VBD'), ('?', '.')], [('ABC.NET.AU', 'NNP'), ('Victoria', 'NNP'), ('is', 'VBZ'), ('now', 'RB'), ('battling', 'VBG'), ('COVID', 'NNP'), ('on', 'IN'), ('multiple', 'JJ'), ('fronts', 'NNS'), ('.', '.')], [('``', '``'), ('Here', 'RB'), ('are', 'VBP'), ('four', 'CD'), ('things', 'NNS'), ('to', 'TO'), ('watch', 'VB'), ('Victorias', 'NNP'), ('coronavirus', 'NN'), ('outbreak', 'NN'), ('takes', 'VBZ'), ('a', 'DT'), ('concerning', 'VBG'), ('turn', 'NN'), ('with', 'IN'), ('authorities', 'NNS'), ('now', 'RB'), ('fighting', 'VBG'), ('both', 'DT'), ('the', 'DT'), ('Kappa', 'NNP'), ('and', 'CC'), ('Delta', 'NNP'), ('variants', 'NNS'), ('.', '.'), (""''"", ""''"")]]"
10162594346794988,"[[('Hope', 'NN'), ('after', 'IN'), ('heartbreak', 'JJ'), ('18', 'CD'), ('months', 'NNS'), ('on💔', 'JJ'), ('Kangaroo', 'NNP'), ('Island', 'NNP'), ('was', 'VBD'), ('devastated', 'VBN'), ('by', 'IN'), ('deadly', 'JJ'), ('bushfires', 'NNS'), ('18', 'CD'), ('months', 'NNS'), ('ago', 'RB'), ('.', '.')], [('For', 'IN'), ('some', 'DT'), (',', ','), ('it', 'PRP'), ('meant', 'VBD'), ('losing', 'VBG'), ('their', 'PRP$'), ('house', 'NN'), (',', ','), ('livelihood', 'NN'), (',', ','), ('and', 'CC'), ('loved', 'VBD'), ('ones', 'NNS'), ('.', '.')], [('Now', 'RB'), (',', ','), ('the', 'DT'), ('region', 'NN'), ('is', 'VBZ'), ('finally', 'RB'), ('healing', 'VBG'), ('-', ':'), ('and', 'CC'), ('so', 'RB'), ('is', 'VBZ'), ('the', 'DT'), ('community', 'NN'), ('.', '.')], [('Hope', 'NN'), ('after', 'IN'), ('heartbreak', 'JJ'), ('18', 'CD'), ('months', 'NNS'), ('on💔', 'JJ'), ('Kangaroo', 'NNP'), ('Island', 'NNP'), ('was', 'VBD'), ('devastated', 'VBN'), ('by', 'IN'), ('deadly', 'JJ'), ('bushfires', 'NNS'), ('18', 'CD'), ('months', 'NNS'), ('ago', 'RB'), ('.', '.')], [('Play', 'NNP'), ('Video', 'NNP')]]"
10162596581899988,"[[('A', 'DT'), ('junior', 'JJ'), ('AFL', 'NNP'), ('club', 'NN'), ('in', 'IN'), ('Queensland', 'NNP'), ('has', 'VBZ'), ('taken', 'VBN'), ('the', 'DT'), ('``', '``'), ('drastic', 'JJ'), ('step', 'NN'), (""''"", ""''""), ('of', 'IN'), ('banning', 'VBG'), ('parents', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('sidelines', 'NNS'), ('after', 'IN'), ('a', 'DT'), ('spate', 'NN'), ('of', 'IN'), ('clashes', 'NNS'), ('between', 'IN'), ('spectators', 'NNS'), (',', ','), ('teenage', 'NN'), ('umpires', 'NNS'), ('and', 'CC'), ('volunteers', 'NNS'), ('.', '.')], [('ABC.NET.AU', 'NNP'), ('Parents', 'NNS'), ('banned', 'VBD'), ('from', 'IN'), ('sidelines', 'NNS'), ('of', 'IN'), ('Gold', 'NNP'), ('Coast', 'NNP'), ('junior', 'JJ'), ('AFL', 'NNP'), ('games', 'NNS')]]"
10162596574399988,"[[('``', '``'), ('Apathy', 'NNP'), (',', ','), ('strength', 'NN'), (',', ','), ('complacency', 'NN'), (',', ','), ('commitment', 'NN'), (':', ':'), ('weve', 'VBP'), ('seen', 'VBN'), ('two', 'CD'), ('sides', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('pandemic', 'JJ'), ('response', 'NN'), ('this', 'DT'), ('week', 'NN'), (',', ','), ('writes', 'VBZ'), ('Virginia', 'NNP'), ('Trioli', 'NNP'), ('.', '.'), (""''"", ""''"")], [('``', '``'), ('ABC.NET.AU', 'JJ'), ('ANALYSIS', 'NN'), (':', ':'), ('With', 'IN'), ('lockdown', 'NN'), (',', ','), ('a', 'DT'), ('new', 'JJ'), ('variant', 'NN'), ('and', 'CC'), ('vaccine', 'NN'), ('shambles', 'NNS'), (',', ','), ('were', 'VBD'), ('hanging', 'VBG'), ('by', 'IN'), ('a', 'DT'), ('thread', 'NN'), ('this', 'DT'), ('week', 'NN'), (""''"", ""''"")]]"
10162596569159988,"[[('The', 'DT'), ('pandemic', 'JJ'), ('saw', 'VBD'), ('the', 'DT'), ('remote', 'JJ'), ('East', 'NNP'), ('Kimberley', 'NNP'), ('effectively', 'RB'), ('cut', 'VBD'), ('off', 'RP'), ('from', 'IN'), ('the', 'DT'), ('rest', 'NN'), ('of', 'IN'), ('Australia', 'NNP'), ('to', 'TO'), ('protect', 'VB'), ('its', 'PRP$'), ('vulnerable', 'JJ'), ('Indigenous', 'JJ'), ('population', 'NN'), ('.', '.')], [('But', 'CC'), ('signs', 'NNS'), ('of', 'IN'), ('life', 'NN'), ('are', 'VBP'), ('returning', 'VBG'), ('and', 'CC'), ('lessons', 'NNS'), ('in', 'IN'), ('resilience', 'NN'), ('abound', 'NN'), ('.', '.')], [('``', '``'), ('ABC.NET.AU', 'VB'), ('Its', 'PRP$'), ('always', 'RB'), ('darkest', 'JJS'), ('before', 'IN'), ('the', 'DT'), ('dawn', 'NN'), ('on', 'IN'), ('the', 'DT'), ('road', 'NN'), ('of', 'IN'), ('COVID', 'NNP'), ('recovery', 'NN'), (""''"", ""''"")]]"
