post_id,sentences
10162578900589988,"[[""when sarah couldn't find the product she needed for her young son, who feeds through a tube, she decided to create a commercial blended food product herself.""]
 [""abc.net.au\nsarah's son relies on tube feeding but she still wanted him to have a choice about what he consumed\nwhen single mother sarah thomas couldn’t find the product she needed for her young son, who feeds through a tube, she decided to create a blended food product herself.""]]"
10162578693504988,"[['sri lanka faces an unprecedented pollution crisis as waves of plastic waste from a burning container ship hit the coast and threaten to devastate the local environment, a top environment official warns.']
 [""abc.net.au\nsri lanka faces 'worst beach pollution' in history from burning ship\ntonnes of plastic granules from the smouldering singapore-registered mv x-press pearl are washing up on sri lanka's famed beaches.""]]"
10162578499604988,"[[""a senior federal liberal mp is urging victorian workers to go to centrelink if they lose their income during the state's latest lockdown — but is unable to say whether they will actually receive any support.""]
 ['abc.net.au\ntehan tells out-of-work victorians to head to centrelink, but they may not receive support\nfederal liberal mp dan tehan tells victorian workers who have lost their income during the lockdown to ""go to centrelink and see whether they are eligible"", despite suggestions they will not be.']]"
10162572746774988,"[['it begins with a casual coffee or a simple haircut, and then somehow you find yourself in a committed relationship, jacinta writes.']
 ['| abc everyday\n\nit begins with a casual coffee or a simple haircut, and then somehow you find yourself in a committed relationship, jacinta writes.']
 [""| abc everyday\n\nabc.net.au\nwhy going to a new cafe or hairdresser feels like 'cheating'\nit begins with a casual coffee or a simple haircut, and then somehow you find yourself in a committed relationship.""]]"
10162578339734988,"[['the endangered bilbies are bouncing back in charleville.']
 [""abc.net.au\nwild bilby boom a boon for charleville's visitors\nwhen the charleville bilby experience closed its doors during covid lockdown, the resident bilbies made the most of their newfound privacy.""]]"
10162578302569988,"[['for renna gayde, having a home for her family means everything, but keeping that roof over her head is also entrenching her in a cycle of poverty.']
 [""abc.net.au\nwa's housing 'crisis' has left renna gayde living in 'a constant state of stress'.""]
 [""and she's not alone\nfor renna gayde, having a home for her family means everything, but keeping that roof over her head is also entrenching her in a cycle of poverty.""]]"
10162578335029988,"[[""an aged care worker at a facility in melbourne's west has been diagnosed with covid-19, sending the home into lockdown.""]
 [""abc.net.au\nmelbourne aged care home sent into lockdown after worker contracts covid\nan aged care worker at a facility in melbourne's west is diagnosed with covid-19, sending the home into lockdown.""]]"
10162578300649988,"[['""i would want to go before i\'m in nappies and before someone else is cleaning up my excretions as part of [their] daily love for me.']
 ['i want to go when people remember me as being peaceful and able to say goodbye.""']
 [""abc.net.au\n'i want to go before i am in nappies': therese has a plan for the end of her life and a message for parliamentarians\nfive months ago, therese mclean says her life started to end.""]
 ['her personal experience has only strengthened her resolve to see voluntary assisted dying made legal in queensland.']]"
10162578297219988,"[['nissan australia says australia is ""missing out"" on newer, cheaper electric vehicle models in favour of countries that offer better incentives to motorists, pushing the country further behind the international market.']
 ['abc.net.au\nglobal car giant says australia is \'missing out\' on new, cheap electric car models\nelectric vehicle experts say australia is a ""backwater"" for global car manufacturers and is missing out on the latest ev technology.']]"
10162578268209988,"[['milo has flavoured australian childhoods since the great depression.']
 ['now the smithtown factory that makes it celebrates its centenary after employing generations of families.']
 [""abc.net.au\nthe town that's made of milo drinks to factory's century of success""]]"
10162578231044988,"[[""having barely played together since qualifying in 2019, australia's softballers leave for tokyo on monday, almost two months before the olympics start.""]
 ['but what awaits them will be unlike any training camp they have experienced.']
 ['abc.net.au\nsoftball squad the first australian athletes heading to tokyo for olympics']]"
10162578195449988,"[[""the busy chadstone shopping centre, a university library, the popular peninsula hot springs, and stores and restaurants spread across melbourne are added to the state's growing list of covid-19 exposure sites.""]
 ['abc.net.au\nthe full list of victorian covid exposure sites']]"
10162578189909988,"[[""the weather forecast on mars is mostly fine with scattered clouds ☁️\n\nthe weather forecast on mars is mostly fine with scattered clouds ☁️\n\nabc.net.au\n'it's really cool': nasa's curiosity rover snaps clouds on mars\naccording to nasa, cloudy days are rare in the thin, dry atmosphere of mars, but the space agency's curiosity rover has captured photos of clouds above the red plant — and they were at a much higher altitude than expected.""]]"
10162578152144988,"[['scientists and irrigators unite to warn about the ""real challenges"" producers and communities face with water available to the system cut by half in the past 20 years.']
 [""abc.net.au\n'going to get worse': csiro predicts more droughts as murray-darling inflows crash""]]"
10162578065964988,"[[""victoria's acting premier james merlino calls out a lack of support from the federal government as he unveils a new package for lockdown-hit businesses.""]
 [""abc.net.au\nlive: australians being vaccinated in 'record numbers', greg hunt says\nnearly 600,000 australians have received a covid jab over the past six days, with people now starting to get their second dose of the astrazeneca shot, the federal health minister says.""]
 ['follow live.']]"
10162578016699988,"[['if you want a long career in federal politics, you will probably have a better chance if you are a man.']
 ['the current crop of male politicians in canberra have served 774 days longer than their female counterparts on average.']
 [""abc.net.au\noutnumbered and outlived, women have to make do with a shorter stay in parliament's boy's club""]]"
10162577957089988,"[['is afghanistan on the cusp of peace after decades or war, or will the withdrawal of foreign troops open the door to yet more suffering?']
 ['as they wait for answers, the afghan people are holding their breath.']
 [""abc.net.au\n'generation zero': can afghans pull together to usher in a new era of peace?""]]"
